"id","question","answer","category","source","created_at"
11,[부지선정] 수소충전소 구축 필요 면적 및 절차는?,"• (부지 면적) 단독으로 구축 시 약 1,300㎡ 필요(최소 300평 이상), 주유소 등 복합 형태 구축시 약 660㎡ 필요(최소 200평)
• (구축 절차) 부지선정 > 기초·실시설계 > 건축허가 > 기술검토(KGS) > 고압가스허가 > 공사착공 > 완성검사 > 시운전 > 상업운전개시(평균 1년 6개월 소요)",부지선정,무공해차 통합누리집,"2026-02-24 06:44:29"
12,[기대효과] 수소(충전소)의 기대 효과는?,"친환경에너지로 미래 경제적 부가가치 창출
① 수소는 기존연료 전지를 대체하는 지속가능한 미래형 에너지로,
② 온실가스 배출량과, 미세먼지를 정화하는 친환경에너지이며,
③ 지역의 관광유치와 일자리 창출 등 경제적 부가가치 증대 효과
· 연간 약 70조원 경제효과 및 60만명 고용창출(50년 기준, 맥킨지)",기대효과,무공해차 통합누리집,"2026-02-24 06:44:29"
13,[안정성] 수소충전소는 얼마나 안전하게 관리하나요?,"수소충전소 구축에서부터 관리까지 전방위적 안전조치 시행
① 선진국과 동일하게 국제기준(ISO)을 안전검사를 통과한 부품을 사용
② 주요설비(안전밸브, 고압압력용기 등)에 대한 검사 및 인증실시
③ 가스누출감지경보장치, 화염감지기, 온도·압력센서 등 3중 안전장치 설치
④ 보호시설과 안전거리를 확보하고 안전관리요원이 상주하여 관리",안정성,무공해차 통합누리집,"2026-02-24 06:44:29"
14,[안정성] 수소충전소도 수소폭탄처럼 폭발할 수 있나요?,"에너지로 사용되는 수소가스는 산소와 수소의 단순 화학 반응원리를 사용하기에 수소폭탄과 같은 폭발위험이 없음
① 수소폭탄은 일반적 수소와 원자구조가 다른 중수소, 삼중수소를 사용
② 자연 상태에서 존재하기 힘든 수소로 인위적으로 만들어야 함
③ 특히, 수소폭탄의 폭발은 1억℃ 이상의 온도에서 발생하고 수천 기압이 필요하다
④ 즉, 자연에 존재하는 수소에너지가 수소폭탄처럼 폭발하는 건 가능성이 낮다는 중론임",안정성,무공해차 통합누리집,"2026-02-24 06:44:29"
15,[안정성] 수소가스가 누출되면 위험하지 않나요?,"수소는 우리가 주변에서 일반적으로 사용하는 연료인 LPG, LNG, 가솔린 등과 비교할 때 안전성이 높은 에너지원임.
또한, 실제로 수소는 공기보다 가벼워 누출되더라도 급속도로 확산되어 자연 상태에서 발화 가능성은 극히 불가
* 참고. 연료별 상대적 위험도 비교",안정성,무공해차 통합누리집,"2026-02-24 06:44:29"
16,[구축절차] 수소충전소 구축 과정(공정)은?,"일반적으로, 기획·설계 - 인허가 - 시공(착공 - 기초공사 - 1차중간 검사 - 골조검사 - 2차 중간검사 - 마감공사 - 설비설치 - 3차중간검사 - 예비시운전 - 완성검사) - 운영개시 순으로 진행(약8개월 소요)",구축절차,무공해차 통합누리집,"2026-02-24 06:44:29"
17,한전 충전서비스 이용을 위해 회원가입이 필수인가요?,"<span style=""font-family: 돋움,dotum; font-size: 10pt;""><p style=""line-height: 1.8;""><span style=""font-family: 돋움,dotum; font-size: 12pt;""><strong>1. 어플리케이션</strong></span></p><p style=""line-height: 1.8;""><span style=""font-family: 돋움,dotum; font-size: 10pt;"">&nbsp; &nbsp;&nbsp;&nbsp; 회원가입이 필수는 아니지만 비회원으로 이용 시 기능이 제한됩니다.</span></p><p style=""line-height: 1.8;"">&nbsp;&nbsp; &nbsp;&nbsp; 회원가입 시 간편결제 등록을 필수로 요구하고 있사오니, 아래 범용서비스만 사용하실 고객께서는</p><p style=""line-height: 1.8;"">&nbsp; &nbsp; &nbsp; 회원가입 없이 이용해 주시기 바랍니다.</p><p style=""line-height: 1.8;"">&nbsp;&nbsp; <strong>○ 범용서비스 (로그인 없이 이용 가능)</strong></p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 충전소 위치 및 상태 정보(충전진행률 및 요금정보 등)</p><p style=""line-height: 1.8;"">&nbsp; &nbsp;&nbsp;&nbsp; - 충전소 길찾기(T-map, 카카오네비 연동)</p><p style=""line-height: 1.8;"">&nbsp;&nbsp; &nbsp;&nbsp; - 고장/통신장애에 대한 세부정보 제공</p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp; &nbsp; - 충전소 검색(통합검색, 내주변, 경로내 검색)</p><p style=""line-height: 1.8;""><strong>&nbsp; ○ 회원서비스 (로그인 필요)</strong></p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp;&nbsp; &nbsp;- QR코드 결제 및 간편결제 등록(한전 아파트 충전소 이용시 필수)</p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 실시간 충전진행률 정보, 충전시작/종료 알람</p><p style=""line-height: 1.8;"">&nbsp; &nbsp;&nbsp;&nbsp; - 충전내역(영수증), 통계정보</p><p style=""line-height: 1.8;"">&nbsp;&nbsp; &nbsp;&nbsp; - 충전소 검색(통합검색, 내주변, 경로내 검색, 즐겨찾기)</p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 고장신고, 이용평점 등록</p><p style=""line-height: 1.8;"">&nbsp; &nbsp;&nbsp;&nbsp; - 고객지원, Q&amp;A</p><p style=""line-height: 1.8;"">&nbsp;<span style=""font-family: 돋움,dotum; font-size: 10pt;""><strong><br></strong></span></p><p style=""line-height: 1.8;""><span style=""font-family: 돋움,dotum; font-size: 12pt;""><strong>2. 아파트 충전소</strong></span></p><p style=""line-height: 1.8;"">&nbsp;<span style=""font-family: 돋움,dotum; font-size: 10pt;"">&nbsp;&nbsp; &nbsp;&nbsp;한전 어플리케이션이나 홈페이지에서&nbsp;회원가입 후 간편결제를 등록하셔야 이용가능합니다.</span></p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; (신용카드 현장결제 미지원)</p></span><p style=""line-height: 1.8;"">&nbsp;</p><p style=""line-height: 1.8;""><span style=""font-family: 돋움,dotum; font-size: 12pt;""><strong>3. 공용충전소</strong></span></p><p style=""line-height: 1.8;""><span style=""font-family: 돋움,dotum; font-size: 10pt;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; 공용 충전소는 회원가입 없이도 교통카드 기능이 있는 신용카드로 현장결제를 통해 이용하실 수 있습니다.</span></p><p style=""line-height: 1.8;"">&nbsp; &nbsp;&nbsp;&nbsp; (간편결제, 신용카드 현장결제 지원)</p><p style=""line-height: 1.8;"">&nbsp;</p>",KEPCO PLUG FAQ,한전,"2026-02-24 06:44:29"
18,QR코드 결제가 되지 않습니다.,"<p style=""line-height: 1.8;""><strong><span style=""font-size: 12pt;"">1. QR코드 결제가 뭔가요?</span></strong></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; - 회원카드나 신용카드 없이 어플리케이션을 통해&nbsp;충전기를 이용하실 수 있습니다.</span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; - App 실행 → 로그인</span><span style=""font-size: 10pt;""> → App에서 ""QR인증"" 버튼 클릭</span><span style=""font-size: 10pt;""> → 스마트폰으로 충전기 LCD화면에 QR코드 인식</span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;→ 충전방식 선택</span><span style=""font-size: 10pt;""> 후 충전기 이용</span></p><p style=""line-height: 1.8;"">&nbsp;</p><p style=""line-height: 1.8;""><span style=""font-size: 12pt;""><strong>2. 어플리케이션에 QR코드 결제 선택 버튼이 없어요</strong></span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; -&nbsp;어플리케이션&nbsp;로그인 후에&nbsp;QR코드 결제 버튼이&nbsp;생성됩니다.</span></p><p style=""line-height: 1.8;"">&nbsp;</p><p style=""line-height: 1.8;""><span style=""font-size: 12pt;""><strong>3. 충전기&nbsp;LCD에 QR코드가 없어요</strong></span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; - 해당 기능 적용된 충전기에 한해 이용 가능합니다.(급속충전기 우선적용 후 완속 확대예정)</span></span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; - 통신이 단절되거나 불안정할 경우 QR코드가 표시되지 않을 수 있습니다.</span></span></span></span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;""><br></span></span></span></span></span></span></p><p style=""line-height: 1.8;""><span style=""font-size: 12pt;""><strong>4. QR코드 결제 실패 </strong></span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; - 스마트폰 카메라 또는 충전기 LCD QR코드 이미지부분을 깨끗이 닦아 주세요</span></span></p><p style=""line-height: 1.8;""><span style=""font-size: 10pt;"">&nbsp;&nbsp; - 어플리케이션 재실행 후 QR코드 결제 시도해도 실패하는 경우 1899-2100으로 고장신고 바랍니다.</span>&nbsp;</p>",KEPCO PLUG FAQ,한전,"2026-02-24 06:44:29"
19,한전 충전 회원카드를 발급받고 싶습니다.,"<p style=""line-height: 1.8;""><strong><span style=""font-size: 11pt;"">1. 한국전력공사 회원카드를 발급 받으려면 어떻게 하나요?</span></strong></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp;&nbsp;- 한국전력공사는 자체적으로 카드발급을 하지 않습니다.</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp;&nbsp;- 환경부, 해피차저와 같은 충전사업자 회원카드를 발급 후 간편결제를 등록하시면</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;한전 회원서비스를 이용하실 수 있습니다.</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp;&nbsp;&nbsp; ※ t-money, cash bee 계열 교통카드도 편의점에서 구매후&nbsp;등록해&nbsp;이용 가능합니다.</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;</span></p><p style=""line-height: 1.8;""><strong><span style=""font-size: 11pt;"">2. 한전 간편결제 서비스가 무엇인가요?</span></strong></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp;&nbsp;- 충전카드와 충전요금을 결제할 신용카드 정보를 ""KEPCO PLUG"" 홈페이지 또는 어플리케이션에 사전 등록 후</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp;&nbsp;&nbsp; 등록된 충전카드를 이용해 한전 충전기를 사용하면&nbsp;연계된 신용카드로 결제되는 서비스입니다.</span></p><p style=""line-height: 1.8;"">&nbsp;&nbsp;&nbsp;&nbsp; * 등록된 충전카드를 충전기 카드리더기에 접촉하거나, 충전카드 번호 입력을 통해 충전기 이용</p><p><strong><br></strong></p><p style=""line-height: 1.8;""><strong><span style=""font-size: 11pt;"">3. 한전 간편결제로 이용할 수 있는 서비스는 어떤게 있나요?</span></strong></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; - 힌국전력공사 아파트 충전소 이용(아파트는 간편결제 미등록시 이용불가)</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; - QR코드 결제(""KEPCO PLUG"" </span><span style=""font-size: 11pt;"">APP</span><span style=""font-size: 11pt;""> 이용)</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; -&nbsp;실시간 충전진행률 정보, 충전시작/종료 알람</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; - 충전내역(영수증), 통계정보</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; - 충전소 검색(통합검색, 내주변, 경로내 검색, 즐겨찾기)</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; - 고장신고, 이용평점 등록</span></p><p style=""line-height: 1.8;""><span style=""font-size: 11pt;"">&nbsp;&nbsp; - 고객지원,&nbsp;Q&amp;A 등</span><strong><br></strong></p>",KEPCO PLUG FAQ,한전,"2026-02-24 06:44:29"
20,한전 충전기 이용가능한 충전카드,"<p style=""line-height:1.8;font-size:16px""><strong class=""blue02"">1. 아파트 충전기</strong></p>
<p style=""line-height:1.8;font-size:14px;margin-left:8px"">가. t-머니 등 교통카드를 KEPCO PLUG 홈페이지나 모바일 앱에서 간편결제 등록(회원가입) 후 이용</p>
<p style=""line-height:1.8;font-size:13px;margin-left:16px;"">※ '22년 하반기부터 환경부에서발급하는2055로 시작하는 회원카드는 <strong>일부 한전충전기에서 지원되지 않을 수 있습니다.</strong></p>
<p style=""line-height:1.8;font-size:13px;margin-left:24px;"">▷ 해당 충전기는 편의점에서 <strong>10xx</strong>로 시작하는 T-머니 카드 구입후 회원카드 정보를 변경하면, 즉시 사용 가능합니다.</p> 
<p style=""line-height:1.8;font-size:13px;margin-left:40px;"">(신규 환경부 카드 적용 불가 충전기 여부는 고객센터 문의바랍니다) </p>
<p style=""line-height:1.8;font-size:13px;margin-left:24px;""> ▷ 기 소지한 T-머니 계열의 차지비, 에스에스차저, 대영채비 등의 충전카드로 한전 간편결제 등록없이 한전 충전기</p> 
<p style=""line-height:1.8;font-size:13px;margin-left:40px;"">사용도 가능합니다.(단, 충전사업자 로밍요금  정책을 따름)</p>

<p style=""line-height:1.8;font-size:14px;margin-left:8px"">나. 충전카드를 KEPCO PLUG 홈페이지나 모바일 앱에서 간편결제 등록하지 않은 상태로 충전기 이용불가</p>
<p style=""line-height:1.8;font-size:13px;margin-left:24px;"">※ 일부 충전사업자는 공용충전기 처럼 회원카드로 충전기 로밍 이용 가능</p>
<p style=""line-height:1.8;font-size:13px;margin-left:24px;"">('22년 하반기 부터 한전 아파트 충전기 추가 개방 시행, 충전사업자별 정책 확인 후 이용 요망)
<br><br>

</p><p style=""line-height:1.8;font-size:16px""><strong class=""blue02"">2. 공용 충전기</strong></p>
<p style=""line-height:1.8;font-size:14px;margin-left:8px;""><strong>가. 한전고객</strong></p>
<p style=""line-height:1.8;font-size:13px;margin-left:16px;"">▷ t-머니 등 교통카드를 KEPCO PLUG 홈페이지나 모바일 앱에서 간편결제 등록(회원가입) 후 이용</p>
<p style=""line-height:1.8;font-size:13px;margin-left:16px;"">▷ 충전카드는 환경부나 민간 충전사업자(한국충전, 차지비 등)로 부터 발급 또는 편의점에서 교통카드 구매 후 등록</p> 

<p style=""line-height:1.8;font-size:14px;margin-left:8px;""><strong>나. 타 충전사업자 고객</strong>(한전 간편결제 미등록한 충전카드)</p>
<p style=""line-height:1.8;font-size:13px;margin-left:16px;"">▷ <strong>해피차저,차지비,환경부카드,에스에스차저, 에버온, EV infra,대영채비,모두의 충전 등</strong> 회원카드로 충전기 로밍 이용 가능</p>
<p style=""line-height:1.8;font-size:13px;margin-left:16px;"">▷ 한전 간편결제 미등록한 회원카드로 충전기 이용시 해당 사업자에서 충전요금을 부과하게 됩니다.&lt;/</p>",KEPCO PLUG FAQ,한전,"2026-02-24 06:44:29"
